2023-06-19 16:40:00 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-6650396573045321209/config-server-repository/config-client-kafka_to_elastic.yml]' via location 'file:/tmp/config-repo-6650396573045321209/config-server-repository/'
2023-06-19 16:40:00 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-6650396573045321209/config-server-repository/config-client.yml]' via location 'file:/tmp/config-repo-6650396573045321209/config-server-repository/'
2023-06-19 16:42:11 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-19 16:42:12 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 88b1d4caa582 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-19 16:42:12 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-19 16:42:12 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e45cfef8-d204-391b-a902-213cf762b805
2023-06-19 16:42:13 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-19 16:42:13 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-19 16:42:13 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 16:42:13 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-19 16:42:13 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-19 16:42:13 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1073 ms
2023-06-19 16:42:13 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@23cd5d42, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2b44d6d0, org.springframework.security.web.context.SecurityContextPersistenceFilter@7f73ce28, org.springframework.security.web.header.HeaderWriterFilter@35d26ad2, org.springframework.security.web.csrf.CsrfFilter@5707f613, org.springframework.security.web.authentication.logout.LogoutFilter@251c4280, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6d6f6860, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@40ce9049, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@3e900e1a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@39b626e5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2282400e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@543d5863, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@196624bf, org.springframework.security.web.session.SessionManagementFilter@ee21292, org.springframework.security.web.access.ExceptionTranslationFilter@445821a6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@ea7a4c3]
2023-06-19 16:42:13 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:42:13 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-19 16:42:13 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:42:13 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-19 16:42:13 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:42:13 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-19 16:42:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-19 16:42:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-19 16:42:18 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 7.064 seconds (JVM running for 7.42)
2023-06-19 16:42:45 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-19 16:42:45 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-19 16:42:45 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-19 17:02:05 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-19 17:02:05 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 6b068407c80c with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-19 17:02:05 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-19 17:02:06 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e45cfef8-d204-391b-a902-213cf762b805
2023-06-19 17:02:06 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-19 17:02:06 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-19 17:02:06 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 17:02:06 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-19 17:02:06 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-19 17:02:06 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1156 ms
2023-06-19 17:02:07 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@23cd5d42, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2b44d6d0, org.springframework.security.web.context.SecurityContextPersistenceFilter@68b11545, org.springframework.security.web.header.HeaderWriterFilter@6367a688, org.springframework.security.web.csrf.CsrfFilter@68b7d0ef, org.springframework.security.web.authentication.logout.LogoutFilter@52ca2652, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6d6f6860, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@9a20cbd, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@3e900e1a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@39b626e5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@357bc488, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ea17147, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@196624bf, org.springframework.security.web.session.SessionManagementFilter@59498d94, org.springframework.security.web.access.ExceptionTranslationFilter@5707f613, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@ea7a4c3]
2023-06-19 17:02:07 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:02:07 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
